stamp_s,x_m,y_m,yaw_rad,ot_overlap
11.299999747,89631.4161,43127.808600000004,2.2156180545187225,0
11.449999744,89631.41619999999,43127.8085,2.215588640899899,0
11.549999741,89631.41619999999,43127.8125,2.215619733062779,0
11.59999974,89631.4084,43127.8165,2.2156042796537614,0
11.649999739,89631.4083,43127.820400000004,2.21519798876052,0
11.699999738,89631.4005,43127.8282,2.2144122025634405,0
11.749999737,89631.3929,43127.8398,2.2130308713553757,0
11.799999736,89631.3851,43127.8513,2.210845330639766,0
11.849999735,89631.3772,43127.8668,2.207867164349354,0
11.899999734,89631.3693,43127.879,2.2033465669840635,0
11.949999732,89631.3536,43127.8983,2.1980353108994093,0
12.04999973,89631.3304,43127.9375,2.1831944970643478,0
12.149999728,89631.2989,43127.980500000005,2.1668295456536524,0
12.199999727,89631.2833,43128.0039,2.158082509032846,0
12.299999725,89631.252,43128.0624,2.1384859692872236,0
12.399999722,89631.2131,43128.125100000005,2.1180944204138497,0
12.449999721,89631.1896,43128.16,2.1092008046094946,0
12.49999972,89631.174,43128.199100000005,2.0991437872179666,0
12.549999719,89631.1506,43128.2382,2.088838391497389,0
12.599999718,89631.1271,43128.2773,2.0800822033142303,0
12.699999716,89631.0802,43128.3671,2.064838621107662,0
12.749999715,89631.0568,43128.414000000004,2.056651433388571,0
12.799999713,89631.0334,43128.4648,2.0483642865951097,0
12.849999712,89631.0022,43128.5156,2.0402918408885187,0
12.899999711,89630.97869999999,43128.570400000004,2.0335881128462265,0
12.94999971,89630.95509999999,43128.6289,2.026468359814542,0
12.999999709,89630.9241,43128.6877,2.0185957591982584,0
13.049999708,89630.9005,43128.746100000004,2.0118098076891666,0
13.149999706,89630.838,43128.875,1.9992921839406002,0
13.199999704,89630.8069,43128.941,1.9934786189908715,0
13.249999703,89630.7835,43129.011600000005,1.9879957370118782,0
13.299999702000001,89630.7521,43129.085900000005,1.982154612880659,0
13.3999997,89630.6896,43129.2341,1.9720628574786343,0
13.449999699,89630.6584,43129.3121,1.9677241361413476,0
13.499999698,89630.6271,43129.394400000005,1.9634563413256956,0
13.599999696,89630.5647,43129.5584,1.956677682762806,0
13.649999694,89630.5254,43129.6445,1.9541948280348882,0
13.699999693,89630.4942,43129.734300000004,1.9523675615272018,0
13.749999692,89630.4632,43129.824,1.9515093170158897,0
13.799999691,89630.4237,43129.9181,1.951466542706665,0
13.84999969,89630.3929,43130.0117,1.9523603164645018,0
13.899999689,89630.3614,43130.1053,1.9536683511270603,0
13.949999688,89630.3223,43130.207200000004,1.9558385527565005,0
14.049999685,89630.2445,43130.406200000005,1.962754052036973,0
14.199999682,89630.1272,43130.723000000005,1.9754796704412,0
14.249999681,89630.0804,43130.8321,1.9812006513784446,0
14.29999968,89630.0334,43130.945100000004,1.987251546908583,0
14.449999677,89629.8928,43131.2891,2.0080113353148423,0
14.499999675,89629.8458,43131.4063,2.015974748647584,0
