s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.1726502,43129.0177055,2.7934466,-0.0988704,9.7222222,0.0000000
0.9653977,89655.8031224,43128.1258299,2.6979974,-0.1044217,9.7222222,0.0000000
1.9307496,89655.3450616,43127.2760743,2.5918344,-0.1135936,9.7222222,0.0000000
2.8960644,89654.7959309,43126.4821674,2.4786859,-0.1184180,9.7222222,0.0000000
3.8613631,89654.1589249,43125.7568918,2.3632149,-0.1183971,9.7222222,0.0000000
4.8266701,89653.4426586,43125.1097594,2.2501078,-0.1141324,9.7222222,0.0000000
5.7920039,89652.6591820,43124.5458146,2.1428662,-0.1071643,9.7222222,0.0000000
6.7573717,89651.8215381,43124.0659316,2.0432055,-0.0993655,9.7222222,0.0000000
7.7227714,89650.9418498,43123.6682570,1.9510146,-0.0924449,9.7222222,0.0000000
8.6881946,89650.0303705,43123.3500631,1.8647108,-0.0875606,9.7222222,0.0000000
9.6536308,89649.0954174,43123.1093773,1.7819475,-0.0849641,9.7222222,0.0000000
10.6190715,89648.1439497,43122.9457158,1.7006556,-0.0838699,9.7222222,0.0000000
11.5845137,89647.1823609,43122.8595433,1.6200045,-0.0828233,9.7222222,0.0000000
12.5499605,89646.2169535,43122.8508153,1.5407330,-0.0804624,9.7222222,0.0000000
13.5154188,89645.2538037,43122.9175395,1.4646393,-0.0762110,9.7222222,0.0000000
14.4808945,89644.2982029,43123.0552728,1.3935747,-0.0704823,9.7222222,0.0000000
15.4463892,89643.3541809,43123.2577631,1.3285400,-0.0642951,9.7222222,0.0000000
16.4118992,89642.4244836,43123.5182867,1.2694205,-0.0586484,9.7222222,0.0000000
17.3774191,89641.5109155,43123.8307318,1.2152882,-0.0540611,9.7222222,0.0000000
18.3429451,89640.6147971,43124.1901928,1.1650260,-0.0504491,9.7222222,0.0000000
19.3084757,89639.7371868,43124.5927466,1.1178682,-0.0475573,9.7222222,0.0000000
20.2740103,89638.8788959,43125.0350066,1.0731896,-0.0456728,9.7222222,0.0000000
21.2395470,89638.0407050,43125.5142737,1.0296707,-0.0457928,9.7222222,0.0000000
22.2050806,89637.2241089,43126.0294688,0.9847606,-0.0488063,9.7222222,0.0000000
23.1706031,89636.4322985,43126.5819812,0.9354229,-0.0541993,9.7222222,0.0000000
24.1361071,89635.6704527,43127.1750993,0.8801003,-0.0595062,9.7222222,0.0000000
25.1015943,89634.9445190,43127.8116413,0.8205169,-0.0613352,9.7222222,0.0000000
26.0670800,89634.2586017,43128.4911118,0.7616637,-0.0574436,9.7222222,0.0000000
27.0325842,89633.6124314,43129.2085114,0.7095940,-0.0481919,9.7222222,0.0000000
27.9981158,89633.0008328,43129.9556382,0.6686033,-0.0360638,9.7222222,0.0000000
28.9636702,89632.4155500,43130.7235831,0.6399517,-0.0237896,9.7222222,0.0000000
29.9292386,89631.8477232,43131.5045409,0.6226626,-0.0129303,9.7222222,0.0000000
30.8948136,89631.2893272,43132.2922775,0.6149815,-0.0039394,9.7222222,0.0000000
31.8603905,89630.7335594,43133.0818729,0.6150551,0.0030376,9.7222222,0.0000000
32.8259663,89630.1750470,43133.8695280,0.6208476,0.0078037,9.7222222,0.0000000
33.7915405,89629.6101708,43134.6526298,0.6301251,0.0103655,9.7222222,0.0000000
34.7571138,89629.0371420,43135.4297847,0.6408650,0.0111952,9.7222222,0.0000000
35.7226869,89628.4555772,43136.2005725,0.6517447,0.0110932,9.7222222,0.0000000
36.6882603,89627.8657748,43136.9650757,0.6622876,0.0107858,9.7222222,0.0000000
37.6538338,89627.2680876,43137.7234306,0.6725736,0.0105951,9.7222222,0.0000000
38.6194072,89626.6626837,43138.4756395,0.6827483,0.0103904,9.7222222,0.0000000
39.5849807,89626.0496893,43139.2216756,0.6926391,0.0097875,9.7222222,0.0000000
40.5505546,89625.4295247,43139.9617627,0.7016494,0.0084284,9.7222222,0.0000000
41.5161294,89624.8031856,43140.6966328,0.7089156,0.0062075,9.7222222,0.0000000
42.4817053,89624.1723303,43141.4276310,0.7136370,0.0033934,9.7222222,0.0000000
43.4472820,89623.5390787,43142.1565554,0.7154688,0.0005913,9.7222222,0.0000000
44.4128589,89622.9055489,43142.8852383,0.7147788,-0.0014994,9.7222222,0.0000000
45.3784356,89622.2733039,43143.6150359,0.7125732,-0.0024346,9.7222222,0.0000000
46.3440122,89621.6429949,43144.3465061,0.7100772,-0.0022623,9.7222222,0.0000000
47.3095889,89621.0144008,43145.0794508,0.7082042,-0.0014905,9.7222222,0.0000000
48.2751658,89620.3868360,43145.8132772,0.7071988,-0.0008444,9.7222222,0.0000000
49.2407427,89619.7597170,43146.5474845,0.7065735,-0.0010006,9.7222222,0.0000000
50.2063195,89619.1330703,43147.2820951,0.7052665,-0.0024264,9.7222222,0.0000000
51.1718961,89618.5078729,43148.0179390,0.7018878,-0.0053227,9.7222222,0.0000000
52.1374714,89617.8862056,43148.7567661,0.6949876,-0.0096226,9.7222222,0.0000000
53.1030434,89617.2712252,43149.5011641,0.6833052,-0.0150639,9.7222222,0.0000000
54.0686086,89616.6669949,43150.2543055,0.6658971,-0.0213523,9.7222222,0.0000000
55.0341629,89616.0783100,43151.0196453,0.6420713,-0.0283036,9.7222222,0.0000000
55.9997009,89615.5106565,43151.8006916,0.6112402,-0.0358264,9.7222222,0.0000000
56.9652163,89614.9702748,43152.6008213,0.5728886,-0.0438136,9.7222222,0.0000000
57.9307021,89614.4641680,43153.4230249,0.5266361,-0.0521491,9.7222222,0.0000000
58.8961511,89614.0000394,43154.2695922,0.4721920,-0.0608495,9.7222222,0.0000000
59.8615550,89613.5863169,43155.1418529,0.4091446,-0.0701493,9.7222222,0.0000000
60.8269029,89613.2323758,43156.0399743,0.3367510,-0.0804514,9.7222222,0.0000000
61.7921787,89612.9488722,43156.9626786,0.2538232,-0.0922350,9.7222222,0.0000000
62.7573598,89612.7481007,43157.9067470,0.1586953,-0.1059237,9.7222222,0.0000000
63.7224145,89612.6442313,43158.8661957,0.0493654,-0.1216041,9.7222222,0.0000000
64.6873056,89612.6530296,43159.8310467,-0.0759941,-0.1386038,9.7222222,0.0000000
65.6520025,89612.7903999,43160.7859130,-0.2180828,-0.1551959,9.7222222,0.0000000
66.6165059,89613.0692480,43161.7092279,-0.3753979,-0.1688735,9.7222222,0.0000000
67.5808683,89613.4952222,43162.5744105,-0.5438172,-0.1773656,9.7222222,0.0000000
68.5451836,89614.0634434,43163.3535309,-0.7174790,-0.1798292,9.7222222,0.0000000
69.5095458,89614.7584686,43164.0220624,-0.8906497,-0.1772879,9.7222222,0.0000000
70.4740106,89615.5575499,43164.5621194,-1.0594367,-0.1721116,9.7222222,0.0000000
71.4385887,89616.4349616,43164.9628182,-1.2226605,-0.1667157,9.7222222,0.0000000
72.4032531,89617.3652200,43165.2181544,-1.3810718,-0.1623964,9.7222222,0.0000000
73.3679848,89618.3239532,43165.3255691,-1.5359874,-0.1592799,9.7222222,0.0000000
74.3327672,89619.2878869,43165.2851075,-1.6884047,-0.1566878,9.7222222,0.0000000
75.2975913,89620.2347487,43165.0998016,-1.8383331,-0.1530981,9.7222222,0.0000000
76.2624724,89621.1438121,43164.7763835,-1.9838389,-0.1464258,9.7222222,0.0000000
77.2274438,89621.9978253,43164.3271273,-2.1209134,-0.1353196,9.7222222,0.0000000
78.1925337,89622.7855537,43163.7695588,-2.2450140,-0.1200185,9.7222222,0.0000000
79.1577497,89623.5032134,43163.1241082,-2.3525858,-0.1019664,9.7222222,0.0000000
80.1230793,89624.1539075,43162.4110455,-2.4418649,-0.0830518,9.7222222,0.0000000
81.0884991,89624.7456412,43161.6482307,-2.5129380,-0.0650638,9.7222222,0.0000000
82.0539828,89625.2888398,43160.8500489,-2.5674969,-0.0494531,9.7222222,0.0000000
83.0195070,89625.7940364,43160.0272407,-2.6084323,-0.0371338,9.7222222,0.0000000
83.9850538,89626.2701714,43159.1872549,-2.6392049,-0.0283067,9.7222222,0.0000000
84.9506124,89626.7238194,43158.3349012,-2.6630955,-0.0224788,9.7222222,0.0000000
85.9161768,89627.1592986,43157.4731167,-2.6826142,-0.0187185,9.7222222,0.0000000
86.8817443,89627.5793396,43156.6036996,-2.6992434,-0.0159836,9.7222222,0.0000000
87.8473140,89627.9859240,43155.7279062,-2.7134808,-0.0133694,9.7222222,0.0000000
88.8128858,89628.3810432,43154.8468786,-2.7250616,-0.0102589,9.7222222,0.0000000
89.7784600,89628.7672374,43153.9618998,-2.7332922,-0.0064202,9.7222222,0.0000000
