s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.0304675,43129.2567969,2.9023735,-0.0191932,9.7222222,0.0000000
0.8306892,89655.8554689,43128.4447501,2.8864299,-0.0615603,9.7222222,0.0000000
1.7067676,89655.6000504,43127.6067317,2.7973044,-0.1163512,9.7222222,0.0000000
2.5551133,89655.2741348,43126.8234888,2.6857912,-0.1377167,9.7222222,0.0000000
3.4043616,89654.8542104,43126.0853248,2.5635175,-0.1607580,9.7222222,0.0000000
4.2363323,89654.3572309,43125.4181017,2.4155217,-0.1747273,9.7222222,0.0000000
5.0688200,89653.7531852,43124.8452452,2.2726911,-0.1581496,9.7222222,0.0000000
5.8754144,89653.1076934,43124.3615771,2.1563016,-0.1429605,9.7222222,0.0000000
6.6626089,89652.4271222,43123.9659787,2.0448421,-0.1210392,9.7222222,0.0000000
7.4757501,89651.6857273,43123.6320144,1.9625982,-0.0874420,9.7222222,0.0000000
8.3533999,89650.8651702,43123.3206382,1.8969960,-0.0767410,9.7222222,0.0000000
9.2232682,89650.0314725,43123.0724061,1.8284920,-0.0757586,9.7222222,0.0000000
10.1740072,89649.1054886,43122.8568642,1.7590694,-0.0764504,9.7222222,0.0000000
11.1958044,89648.0952661,43122.7035014,1.6776908,-0.0797354,9.7222222,0.0000000
12.2257387,89647.0674059,43122.6381709,1.5954738,-0.0693659,9.7222222,0.0000000
13.2757572,89646.0174814,43122.6522166,1.5334129,-0.0674830,9.7222222,0.0000000
14.3375195,89644.9577019,43122.7170756,1.4529644,-0.0839841,9.7222222,0.0000000
15.3776380,89643.9336005,43122.8989071,1.3568884,-0.0820056,9.7222222,0.0000000
16.3962719,89642.9473686,43123.1537829,1.2841352,-0.0665756,9.7222222,0.0000000
17.3933148,89642.0013024,43123.4685102,1.2226935,-0.0859952,9.7222222,0.0000000
18.2030262,89641.2497401,43123.7698184,1.1287631,-0.0861852,9.7222222,0.0000000
19.2248362,89640.3482390,43124.2508503,1.0648434,-0.0530604,9.7222222,0.0000000
20.1403741,89639.5553525,43124.7086064,1.0259665,-0.0434627,9.7222222,0.0000000
20.9798175,89638.8477213,43125.1601849,0.9885672,-0.0403165,9.7222222,0.0000000
21.8324150,89638.1422349,43125.6389453,0.9577493,-0.0377734,9.7222222,0.0000000
