s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.3226952,43129.2040846,-1.6208042,7.8422258,9.7222222,0.0000000
0.8512164,89656.2101355,43128.3603431,-1.7618518,-0.1458626,9.7222222,0.0000000
1.7656313,89655.9879428,43127.4733341,-1.8783437,-0.1344995,9.7222222,0.0000000
2.6638607,89655.6624850,43126.6361404,-2.0056515,-0.1316025,9.7222222,0.0000000
3.5676375,89655.2303441,43125.8423729,-2.1154923,-0.1193957,9.7222222,0.0000000
4.4676265,89654.7288484,43125.0950562,-2.2210134,-0.1097951,9.7222222,0.0000000
5.3720960,89654.1399013,43124.4086114,-2.3136130,-0.1008684,9.7222222,0.0000000
6.2530429,89653.5219594,43123.7807459,-2.4011054,-0.1220810,9.7222222,0.0000000
7.1347338,89652.8406449,43123.2211126,-2.5287976,-0.1532379,9.7222222,0.0000000
8.0428443,89652.0618050,43122.7541297,-2.6753708,-0.1596711,9.7222222,0.0000000
9.0148565,89651.1654636,43122.3781246,-2.8289988,-0.1604896,9.7222222,0.0000000
9.9815868,89650.2236495,43122.1600564,-2.9865189,-0.1447427,9.7222222,0.0000000
11.0122600,89649.1968851,43122.0703790,-3.1181085,-0.1113848,9.7222222,0.0000000
12.0983232,89648.1115612,43122.1104466,-3.2222912,-0.0779161,9.7222222,0.0000000
13.1684013,89647.0498523,43122.2440185,-3.2861065,-0.0360653,9.7222222,0.0000000
14.2345990,89645.9979516,43122.4180367,-3.2993366,-0.0123887,9.7222222,0.0000000
15.3055607,89644.9392679,43122.5797396,-3.3125831,-0.0144092,9.7222222,0.0000000
16.3550180,89643.9088575,43122.7787744,-3.3298902,-0.0029113,9.7222222,0.0000000
17.3813692,89642.9001573,43122.9683024,-3.3186264,0.0137396,9.7222222,0.0000000
18.3900191,89641.9057396,43123.1371456,-3.3019301,-0.0042065,9.7222222,0.0000000
19.2395929,89641.0658353,43123.2649594,-3.3264430,-0.0309725,9.7222222,0.0000000
20.3043449,89640.0248859,43123.4888369,-3.3612216,-0.0424433,9.7222222,0.0000000
21.2766045,89639.0778220,43123.7087432,-3.4129004,-0.0903843,9.7222222,0.0000000
22.2055060,89638.1950516,43123.9978357,-3.5330566,-0.1512082,9.7222222,0.0000000
23.1632275,89637.3386724,43124.4266073,-3.6981732,-0.1872385,9.7222222,0.0000000
24.0825536,89636.6083950,43124.9850474,-3.8845122,-0.2084482,9.7222222,0.0000000
25.0863011,89635.9275935,43125.7226233,-4.0990344,-0.1884418,9.7222222,0.0000000
25.8485594,89635.6035305,43126.4125661,-4.2173014,-0.0536575,9.7222222,0.0000000
26.5886797,89635.2149518,43127.0424744,-4.1796483,0.0166445,9.7222222,0.0000000
27.3507645,89634.8407145,43127.7063417,-4.1922979,-0.0001109,9.7222222,0.0000000
28.1392307,89634.4444083,43128.3879723,-4.1798202,0.0112461,9.7222222,0.0000000
28.9836296,89634.0116440,43129.1130411,-4.1739346,0.0099241,9.7222222,0.0000000
29.8088936,89633.5881889,43129.8213817,-4.1632502,0.0189459,9.7222222,0.0000000
30.6603981,89633.1364953,43130.5432076,-4.1421667,-0.0152489,9.7222222,0.0000000
31.5614234,89632.6421946,43131.2965425,-4.1899744,-0.0031221,9.7222222,0.0000000
32.5085180,89632.2158202,43132.1422334,-4.1479367,0.0431094,9.7222222,0.0000000
33.4045178,89631.6611731,43132.8459252,-4.1105196,-0.0039975,9.7222222,0.0000000
34.4671786,89631.1088702,43133.7537851,-4.1557664,-0.0152681,9.7222222,0.0000000
35.5428097,89630.5315238,43134.6613386,-4.1431672,0.0094469,9.7222222,0.0000000
36.6507670,89629.9319709,43135.5930605,-4.1351383,0.0064053,9.7222222,0.0000000
37.7443156,89629.3301314,43136.5060982,-4.1290659,0.0052366,9.7222222,0.0000000
38.8439883,89628.7239436,43137.4236038,-4.1236532,0.0125111,9.7222222,0.0000000
39.9238704,89628.1198173,43138.3186885,-4.1017973,0.0170220,9.7222222,0.0000000
40.9788001,89627.5001228,43139.1724189,-4.0873144,-0.0365264,9.7222222,0.0000000
42.0490954,89626.8762302,43140.0420682,-4.1794241,-0.0571384,9.7222222,0.0000000
43.1788560,89626.3865220,43141.0601767,-4.2130220,0.0123506,9.7222222,0.0000000
44.1438452,89625.8746470,43141.8782159,-4.1535528,0.0546756,9.7222222,0.0000000
45.1505782,89625.3411154,43142.7319461,-4.1052169,0.0187196,9.7222222,0.0000000
46.2427581,89624.6784221,43143.6001019,-4.1142620,-0.0281633,9.7222222,0.0000000
47.2958494,89624.1349390,43144.5021149,-4.1656348,-0.0227793,9.7222222,0.0000000
48.3754684,89623.5695998,43145.4218806,-4.1628436,0.0020420,9.7222222,0.0000000
49.4909355,89622.9884477,43146.3739987,-4.1611524,0.0001347,9.7222222,0.0000000
50.6053992,89622.4016996,43147.3214987,-4.1625433,-0.0016287,9.7222222,0.0000000
51.7518395,89621.8070118,43148.3016372,-4.1648347,0.0038407,9.7222222,0.0000000
52.8805093,89621.2172788,43149.2639836,-4.1538052,0.0230253,9.7222222,0.0000000
54.0076145,89620.6115295,43150.2144750,-4.1128949,-0.0118712,9.7222222,0.0000000
55.0872640,89619.9728425,43151.0849472,-4.1800021,-0.0306167,9.7222222,0.0000000
56.2544031,89619.4764136,43152.1412484,-4.1816842,0.0472485,9.7222222,0.0000000
57.3459698,89618.8347178,43153.0242798,-4.0732816,0.0839187,9.7222222,0.0000000
58.3962971,89618.1988940,43153.8602915,-4.0019393,0.0332466,9.7222222,0.0000000
59.4983873,89617.4333916,43154.6531400,-4.0017211,-0.0044661,9.7222222,0.0000000
60.5921068,89616.7688386,43155.5218123,-4.0117460,-0.0053880,9.7222222,0.0000000
61.7237982,89616.0002187,43156.3524440,-4.0137116,-0.0313425,9.7222222,0.0000000
62.8271569,89615.3329379,43157.2311571,-4.0817980,-0.0700258,9.7222222,0.0000000
63.8601216,89614.7408351,43158.0775792,-4.1633094,-0.1028880,9.7222222,0.0000000
64.9581722,89614.2227233,43159.0457090,-4.3010539,-0.1394031,9.7222222,0.0000000
66.0321397,89613.8752331,43160.0619062,-4.4660954,-0.1768770,9.7222222,0.0000000
67.0248908,89613.7207199,43161.0425593,-4.6666089,-0.2018069,9.7222222,0.0000000
67.9558696,89613.7877679,43161.9711206,-4.8543173,-0.1262964,9.7222222,0.0000000
68.8339495,89613.9759538,43162.8287978,-4.8950865,-0.1582270,9.7222222,0.0000000
69.4575994,89614.0603935,43163.4467049,-5.0919314,-0.2906052,9.7222222,0.0000000
70.2364549,89614.4833081,43164.1007378,-5.3026619,-0.2007427,9.7222222,0.0000000
71.0660023,89614.9554996,43164.7827820,-5.4148066,-0.2023413,9.7222222,0.0000000
71.7340077,89615.4451881,43165.2371346,-5.6056786,-0.3126631,9.7222222,0.0000000
72.3042921,89615.9174919,43165.5567490,-5.8019741,-0.3071303,9.7222222,0.0000000
72.9993674,89616.5609063,43165.8197083,-5.9943089,-0.2309116,9.7222222,0.0000000
73.7267356,89617.2746034,43165.9600684,-6.1304328,-0.1435900,9.7222222,0.0000000
74.4501158,89617.9935247,43166.0402625,-6.2026218,-0.1174250,9.7222222,0.0000000
75.1213164,89618.6639630,43166.0722429,-6.2941914,-0.1767256,9.7222222,0.0000000
75.7776567,89619.3186494,43166.0256775,-6.4372323,-0.1953455,9.7222222,0.0000000
76.4774006,89619.9996580,43165.8648399,-6.5590963,-0.2354901,9.7222222,0.0000000
77.1095814,89620.5988252,43165.6632183,-6.7508874,-0.1947576,9.7222222,0.0000000
77.8150618,89621.1827320,43165.2672947,-6.8196160,-0.0672090,9.7222222,0.0000000
78.5757063,89621.8569533,43164.9151503,-6.8494243,-0.1162270,9.7222222,0.0000000
79.3780007,89622.4972294,43164.4317015,-7.0012717,-0.1633187,9.7222222,0.0000000
80.2255545,89623.0964057,43163.8322557,-7.1188753,-0.1101789,9.7222222,0.0000000
81.1436807,89623.6800412,43163.1235066,-7.1958123,-0.1178581,9.7222222,0.0000000
82.1695486,89624.2849856,43162.2949855,-7.3479908,-0.0542304,9.7222222,0.0000000
83.3281304,89624.7315133,43161.2259089,-7.3142759,0.0420554,9.7222222,0.0000000
84.4594048,89625.4492209,43160.3514504,-7.2516900,-0.0088346,9.7222222,0.0000000
85.6869331,89626.0634087,43159.2886244,-7.3351150,-0.0410154,9.7222222,0.0000000
86.9289407,89626.6738385,43158.2069783,-7.3529791,-0.0169422,9.7222222,0.0000000
88.2216909,89627.2807701,43157.0655594,-7.3780593,-0.0182834,9.7222222,0.0000000
89.4746464,89627.8400767,43155.9443665,-7.3995232,-0.0155957,9.7222222,0.0000000
90.7046807,89628.3707045,43154.8346735,-7.4167833,-0.0140143,9.7222222,0.0000000
91.9072229,89628.8699958,43153.7406826,-7.4336141,-0.0129139,9.7222222,0.0000000
93.0789651,89629.3396103,43152.6671641,-7.4474444,0.0137540,9.7222222,0.0000000
94.3118062,89629.8208275,43151.5321191,-7.4005416,0.0575584,9.7222222,0.0000000
95.3957366,89630.3529090,43150.5877705,-7.3140948,0.0298179,9.7222222,0.0000000
96.4391325,89630.9139486,43149.7080491,-7.3371092,-0.0277764,9.7222222,0.0000000
97.4702667,89631.3767258,43148.7865965,-7.3717178,-0.0014012,9.7222222,0.0000000
